Tipologia,Tipologia funzionamento,Tipologia scambio,Denominazione Commerciale,Marca,Modello,Identificativo modello unità esterna,Identificativo modello unità interna,Potenza termica [kWt],Presenza inverter,COP,GUE,Emissioni NO2
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-A 14 kW,AWO-M-AC1 01.A14,,"14,10",SI,"4,85",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-A 14 kW,AWO-AC 101.A14,,"14,10",SI,"4,85",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 221.C13 (trifase),,,"14,20",SI,"4,80",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 201.D13 (trifase),,,"14,20",SI,"4,80",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 201.D16 (monofase),,,"14,30",SI,"4,70",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 221.C16 (monofase),,,"14,30",SI,"4,70",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 13 (monofase),,,"14,6",SI,"4,29",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 13 (monofase),,,"14,6",SI,"4,29",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 242-S 13 (monofase),,,"14,6",SI,"4,29",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 221.C16 (trifase),,,"14,70",SI,"4,66",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 201.D16 (trifase),,,"14,70",SI,"4,66",,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 150-A 16 kW,AWO(-M)-E-AC-AF 151.A16,Vitocal 150-A 16 kW,"14,90",SI,"4,10",,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 151-A 16 kW,AWOT(-M)-E-AC-AF 151.A16,Vitocal 151-A 16 kW,"14,90",SI,"4,10",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal 16 (monofase),,,"15,21",SI,"4,41",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal 16 (trifase),,,"15,21",SI,"4,41",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-S 16 (monofase),,,"15,5",SI,"4,53",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 111-S 16 (monofase),,,"15,5",SI,"4,53",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 16 (trifase),,,"15,5",SI,"4,11",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 16 (trifase),,,"15,5",SI,"4,11",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 242-S 16 (trifase),,,"15,5",SI,"4,11",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 250-S 16 (trifase),,,"15,5",SI,"4,11",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-S 16 (trifase),,,"15,74",SI,"4,37",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 111-S 16 (trifase),,,"15,74",SI,"4,37",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-A 16 kW,AWO-M-AC1 01.A16,,"16,30",SI,"4,67",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-A 16 kW,AWO-AC 101.A16,,"16,30",SI,"4,67",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-A 18 kW,AWO-AC(-AF) 101.A18,,"17,90",SI,"4,40",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-ID 16,Vitocal 200-A PRO,Vitocal 200,"18,40",SI,"3,90",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal Inverter 17,,,"18,60",SI,"4,50",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal Inverter,17,-,"18,60",SI,"4,50",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-ID,-,19,"21,50",SI,"3,98",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-ID 22,Vitocal 200-A PRO,Vitocal 200,"21,90",SI,"4,00",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal Inverter 22,,,"24,00",SI,"4,70",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal Inverter,22,-,"24,00",SI,"4,70",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-ID,-,22,"25,80",SI,"3,97",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal Max Inverter HP,25.1,,"27,10",SI,"4,49",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal Inverter 27,,,"29,90",SI,"4,30",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal Inverter,27,-,"29,90",SI,"4,30",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-BB 26,Vitocal 200-A PRO,Vitocal 200,"30,00",SI,"4,20",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-BB,26,-,"30,00",SI,"4,17",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-ID,-,26,"30,00",SI,"3,90",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal Inverter 34,,,"34,90",SI,"4,20",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal Inverter,34,-,"34,90",SI,"4,20",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 200-S Comfort,OWAA200MGC027,IWAA200MGC027,"2,80",SI,"4,09",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 232-S,OSW2026MLD0,W2026MLD0,"2,90",SI,"4,51",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 230-S Console,OFAA230M027R32,IFAA230M027R32,"2,90",SI,"3,97",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 230-S Console,OFAA230MGB027,IFAA230MGB027,"2,90",SI,"3,97",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 200-S Comfort,OSW2026PLD0,W2026PLD0,"3,00",SI,"3,85",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 230-S Dynamic,OWAA230MGB027,IWAA230MGB027,"3,00",SI,"4,41",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 232-S,OSW2026MLD2,W2026MLD2,"3,00",SI,"4,41",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 232-S Black,OSW2026CLD2,W2026CLD2,"3,00",SI,"4,41",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 232-S Opaco,OSW2026OLD2,W2026OLD2,"3,00",SI,"4,41",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-Style,OSDW2025JLD0,W2025JLD0,"3,20",SI,"4,84",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 200-S Comfort,OWAA200MGC032,IWAA200MGC032,"3,40",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 200-S Comfort,OSW2035PLD0,W2035PLD0,"3,67",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 232-S,OSW2035MLD0,W2035MLD0,"3,80",SI,"3,91",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 230-S Console,OFAA230M035R32,IFAA230M035R32,"3,80",SI,"3,96",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 230-S Dynamic,OWAA230MGB035,IWAA230MGB035,"3,80",SI,"3,90",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 230-S Console,OFAA230MGB035,IFAA230MGB035,"3,80",SI,"3,96",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 232-S,OSW2035MLD2,W2035MLD2,"3,81",SI,"4,00",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 232-S Black,OSW2035CLD2,W2035CLD2,"3,81",SI,"4,00",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 232-S Opaco,OSW2035OLD2,W2035OLD2,"3,81",SI,"4,00",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 242-S,OSU2035MHE1,D2035M1,"4,00",SI,"3,81",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 242-S,OSU2035MHE2,D2035M2,"4,00",SI,"4,00",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-Style,OSDW2035JLD0,W2035JLD0,"4,20",SI,"4,72",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O2F3041M3,7k+7k,"4,40",SI,"4,54",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O2F3041M3,7k+9k,"4,40",SI,"4,54",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O2F3041M3,7k+12k,"4,40",SI,"4,54",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O2F3041M3,9k+9k,"4,40",SI,"4,54",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O2F3041M3,9k+12k,"4,40",SI,"4,54",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O2F3050M2,7+7,"4,80",SI,"4,17",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O2F3050M2,7+9,"4,80",SI,"4,17",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O3F3062M2,7+9,"5,00",SI,"3,94",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 200-S Comfort,OSW2052PLD0,W2052PLD0,"5,30",SI,"3,76",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 230-S Dynamic,OWAA230MGB053,IWAA230MGB053,"5,30",SI,"3,84",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O2F3050M2,7+12,"5,40",SI,"3,86",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O2F3050M2,9+9,"5,40",SI,"4,15",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O2F3050M2,9+12,"5,50",SI,"3,77",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 242-S,OSU2050MHE1,D2050M1,"5,50",SI,"3,79",,
