Tipologia,Tipologia funzionamento,Tipologia scambio,Denominazione Commerciale,Marca,Modello,Identificativo modello unità esterna,Identificativo modello unità interna,Potenza termica [kWt],Presenza inverter,COP,GUE,Emissioni NO2
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK 12,65133,65132,"3,65",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65316,65329+65329,"4,70",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65316,65329+65310,"4,80",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65317,65329+65329,"4,80",SI,4,,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65317,65329+65310,"5,00",SI,4,,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65320,65329+65329,"5,00",SI,4,,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65320,65329+65310,"5,10",SI,4,,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK 18 DUCT,65327,65323,"5,20",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65316,65310+65310,"5,20",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK 18,65135,65134,"5,27",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65316,65329+65312,"5,30",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65316,65310+65312,"5,40",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65317,65329+65312,"5,50",SI,4,,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65317,65310+65310,"5,60",SI,4,,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65320,65329+65312,"5,60",SI,"4,1",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65320,65310+65310,"5,60",SI,"4,1",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65317,65310+65312,"5,90",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65320,65310+65312,"6,00",SI,"4,1",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65317,65329+65314,"6,30",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65317,65310+65314,"6,50",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65317,65312+65312,"6,50",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65320,65329+65314,"6,50",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65317,65312+65314,"6,60",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65320,65312+65312,"6,60",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65317,65314+65314,"6,70",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65320,65310+65314,"6,70",SI,4,,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65320,65312+65314,"6,70",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK DUAL,65320,65314+65314,"6,90",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65329+65329+65329,"6,90",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK 24 CASSETTE,65326,65322,"7,00",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK 24 DUCT,65328,65324,"7,00",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65317,65329+65310+65310,"7,00",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65329+65310+65310,"7,15",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65317,65310+65310+65310,"7,20",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65329+65329+65310,"7,25",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65317,65329+65310+65312,"7,30",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65317,65310+65310+65312,"7,30",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65317,65310+65312+65312,"7,30",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65329+65310+65312,"7,30",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65317,65312+65312+65312,"7,35",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65317,65329+65329+65312,"7,40",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65317,65329+65312+65312,"7,40",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65317,65310+65310+65314,"7,40",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65329+65312+65312,"7,40",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65317,65329+65310+65314,"7,45",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65329+65310+65314,"7,45",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65317,65329+65329+65314,"7,50",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65329+65329+65312,"7,55",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65329+65329+65314,"7,65",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65310+65310+65310,"7,70",SI,4,,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65310+65310+65312,"7,90",SI,4,,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65310+65310+65314,"8,00",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65310+65312+65312,"8,00",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65329+65329+65329+65329,"8,20",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65310+65312+65314,"8,20",SI,"3,8",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65329+65329+65329+65310,"8,30",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65312+65312+65312,"8,30",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65329+65329+65329+65312,"8,40",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65329+65329+65310+65310,"8,40",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK TRIAL,65320,65312+65312+65314,"8,40",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65329+65329+65310+65312,"8,45",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65329+65310+65310+65310,"8,45",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65329+65329+65329+65314,"8,50",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65329+65329+65312+65312,"8,50",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65329+65310+65310+65312,"8,50",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65310+65310+65310+65310,"8,52",SI,"4,1",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65329+65329+65310+65314,"8,55",SI,"3,9",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65310+65310+65310+65312,"8,65",SI,"4,1",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK QUADRI,65320,65310+65310+65312+65312,"8,80",SI,"4,1",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO 9,65331,65330,"2,80",SI,"3,76",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO 12,65333,65332,"3,65",SI,"3,76",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65337,65339 + 65339,"4,80",SI,"4,00",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65337,65339 + 65330,"5,00",SI,"4,00",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65338,65339 + 65339,"5,00",SI,"4,00",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65338,65339 + 65330,"5,10",SI,"4,02",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65336,65330 + 65330,"5,20",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65336,65330 + 65332,"5,40",SI,"3,72",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO 18,65335,65334,"5,50",SI,"3,72",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65337,65339 + 65332,"5,50",SI,"4,04",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65336,65332 + 65332,"5,60",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65337,65330 + 65330,"5,60",SI,"4,02",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65338,65339 + 65332,"5,60",SI,"4,09",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65338,65330 + 65330,"5,60",SI,"4,13",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65337,65330 + 65332,"5,90",SI,"3,91",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65338,65330 + 65332,"6,00",SI,"4,09",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65337,65339 + 65334,"6,30",SI,"3,87",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65337,65330 + 65334,"6,50",SI,"3,81",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65337,65332 + 65332,"6,50",SI,"3,88",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65338,65339 + 65334,"6,50",SI,"3,89",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65337,65332 + 65334,"6,60",SI,"3,87",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65338,65332 + 65332,"6,60",SI,"3,91",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65337,65334 + 65334,"6,70",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65338,65330 + 65334,"6,70",SI,"4,03",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65338,65332 + 65334,"6,70",SI,"3,91",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO DUAL,65338,65334 + 65334,"6,90",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65339 + 65339 + 65339,"6,90",SI,"3,83",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65339 + 65330 + 65330,"7,15",SI,"3,84",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65337,65330 + 65330 + 65330,"7,20",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65339 + 65339 + 65330,"7,25",SI,"3,82",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65337,65330 + 65330 + 65332,"7,30",SI,"3,74",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65339 + 65330 + 65332,"7,30",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65337,65330 + 65332 + 65332,"7,30",SI,"3,74",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65337,65332 + 65332 + 65332,"7,35",SI,"3,75",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65337,65339 + 65339 + 65332,"7,40",SI,"3,72",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65337,65330 + 65330 + 65334,"7,40",SI,"3,76",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65339 + 65332 + 65332,"7,40",SI,"3,78",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65339 + 65330 + 65334,"7,45",SI,"3,82",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65339 + 65339 + 65332,"7,55",SI,"3,85",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65339 + 65332 + 65334,"7,60",SI,"3,84",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65339 + 65339 + 65334,"7,65",SI,"3,84",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65330 + 65330 + 65330,"7,70",SI,"3,97",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65330 + 65330 + 65332,"7,90",SI,"3,96",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65330 + 65330 + 65334,"8,00",SI,"3,84",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65330 + 65332 + 65332,"8,00",SI,"3,84",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65330 + 65332 + 65334,"8,20",SI,"3,83",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65339 + 65339 + 65339 + 65339,"8,20",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65339 + 65339 + 65339 + 65330,"8,30",SI,"3,91",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK EVO TRIAL,65338,65332 + 65332 + 65334,"8,40",SI,"3,72",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65339 + 65339 + 65339 + 65332,"8,40",SI,"3,91",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65339 + 65339 + 65330 + 65330,"8,40",SI,"3,91",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65339 + 65339 + 65330 + 65332,"8,45",SI,"3,91",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65339 + 65330 + 65330 + 65330,"8,45",SI,"3,92",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65339 + 65339 + 65339 + 65334,"8,50",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65339 + 65339 + 65332 + 65332,"8,50",SI,"3,91",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65339 + 65330 + 65330 + 65332,"8,50",SI,"3,92",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65330 + 65330 + 65330 + 65330,"8,52",SI,"4,06",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65339 + 65339 + 65330 + 65334,"8,55",SI,"3,91",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65339 + 65330 + 65332 + 65332,"8,55",SI,"3,91",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65330 + 65330 + 65330 + 65332,"8,65",SI,"4,08",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE ELETTROSOCIALI,VORT ARTIK QUADRI EVO,65338,65330 + 65330 + 65332 + 65332,"8,80",SI,"4,09",,
2.A,Elettrica,Acqua/acqua,PDC ad acqua di falda/acqua,WEISHAUPT ITALIA,WWP W 10 ID,,-,"9,60",NO,"5,90",,
2.A,Elettrica,Acqua/acqua,PDC ad acqua di falda/acqua,WEISHAUPT ITALIA,WWP W 14 ID,,-,"13,30",NO,"6,10",,
2.A,Elettrica,Acqua/acqua,PDC ad acqua di falda/acqua,WEISHAUPT ITALIA,WWP W 18 ID,,-,"17,10",NO,"5,80",,
2.A,Elettrica,Acqua/acqua,PDC ad acqua di falda/acqua,WEISHAUPT ITALIA,WWP W 22 ID,,-,"22,30",NO,"5,70",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP LB 12-A R,,-,"4,93",SI,"5,00",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP LS 8-B R-E,,-,"7,94",SI,"4,72",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP LS 8-B R-E-K,,-,"7,94",SI,"4,72",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP L 18 AD,,-,"8,40",NO,"4,80",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP L 18 ADR,,-,"8,40",NO,"4,80",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP L 9 AD,,-,"8,40",NO,"4,80",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP L 9 ADR,,-,"8,40",NO,"4,80",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP L 9 ID,,-,"8,50",NO,"4,70",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP LS 10-B R,,-,"10,23",SI,"4,95",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP LS 10-B R-K,,-,"10,23",SI,"4,95",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP LB 12-A R,WWP LB 12-A R unità esterna,WWP LB 12-A R unità interna,"10,70",SI,"4,80",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP LS 10-B R-E,,-,"10,90",SI,"4,62",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP LS 10-B R-E-K,,-,"10,90",SI,"4,62",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP L 12 AD,,-,"11,30",NO,"4,70",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP L 12 ADR,,-,"11,30",NO,"4,70",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP L 12 ID,,-,"11,50",NO,"4,80",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP LS 13-B R,,-,"11,70",SI,"4,54",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP LS 13-B R-E,,-,"12,83",SI,"4,12",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP LS 16-B R,,-,"15,70",SI,"4,17",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP LB 20-A R,WWP LB 20-A R unità esterna,WWP LB 20-A R unità interna,"18,50",SI,"5,00",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP L 25 A-2,,-,"24,50",NO,"4,30",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP L 25 A,,-,"26,10",NO,"4,40",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP L 35 AR,,-,"30,20",NO,"4,50",,
2.A,Elettrica,Aria/acqua,Aria/acqua,WEISHAUPT ITALIA,WWP L 40 A-2,,-,"32,70",NO,"4,10",,
2.A,Elettrica,Salamoia/acqua,geotermiche suolo/acqua a circuito chiuso e sviluppo verticale,WEISHAUPT ITALIA,WWP S 6 ID,,-,"6,10",NO,"4,70",,
2.A,Elettrica,Salamoia/acqua,geotermiche suolo/acqua a circuito chiuso e sviluppo verticale,WEISHAUPT ITALIA,WWP S 8 ID,,-,"8,10",NO,"4,80",,
2.A,Elettrica,Salamoia/acqua,geotermiche suolo/acqua a circuito chiuso e sviluppo verticale,WEISHAUPT ITALIA,WWP S 11 ID,,-,"10,90",NO,"4,90",,
2.A,Elettrica,Salamoia/acqua,geotermiche suolo/acqua a circuito chiuso e sviluppo verticale,WEISHAUPT ITALIA,WWP S 14 ID,,-,"13,90",NO,"5,00",,
2.A,Elettrica,Salamoia/acqua,geotermiche suolo/acqua a circuito chiuso e sviluppo verticale,WEISHAUPT ITALIA,WWP S 18 ID,,-,"17,50",NO,"4,70",,
2.A,Elettrica,Salamoia/acqua,geotermiche suolo/acqua a circuito chiuso e sviluppo verticale,WEISHAUPT ITALIA,WWP S 22 IB,,-,"22,90",NO,"4,40",,
2.A,Elettrica,Salamoia/acqua,geotermiche suolo/acqua a circuito chiuso e sviluppo verticale,WEISHAUPT ITALIA,WWP S 26 ID,,-,"26,70",NO,"4,90",,
2.A,Elettrica,Salamoia/acqua,geotermiche suolo/acqua a circuito chiuso e sviluppo verticale,WEISHAUPT ITALIA,WWP S 35 IDR,,-,"33,70",NO,"4,60",,
2.A,Elettrica,Salamoia/acqua,geotermiche suolo/acqua a circuito chiuso e sviluppo verticale,WEISHAUPT ITALIA,WWP S 35 ID,,-,"34,80",NO,"4,80",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA-Monoblocco,FHA-05/06-230V-M2,FS-B2,"6,17",SI,"4,94",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA-Monoblocco,FHA-05/06-230V-M2,FS-E6-B2,"6,17",SI,"4,94",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-05/06-230V-M2,FC-200-e6-B2,"6,17",SI,"4,94",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-05/06-230V-M2,FC-200-R35-e6-B2,"6,17",SI,"4,94",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-05/06-230V-M2,FC-300-e6-B2,"6,17",SI,"4,94",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-05/06-230V-M2,FC-300-R50-e6-B2,"6,17",SI,"4,94",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,FHA Center,FHA-05/06-230V-M2,FC-300-S50-e6-B2,"6,17",SI,"4,94",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHA-Monoblocco,CHA-Monoblocco 07-400V - 9146797,9146808,"7,00",SI,"5,10",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHC_Monoblocco,CHA_Monoblocco 07/200-400V - 9146797,9146808,"7,00",SI,"5,10",,
2.A,Elettrica,aria/acqua,aria/acqua,Wolf,CHC_Monoblocco,CHA_Monoblocco 07/200-35-400V - 9146797,9146808,"7,00",SI,"5,10",,
